,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
804,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230628,10230628,Namur,Belgium,Namur,5000,265000,APARTMENT,APARTMENT,2.0,93.0,1,0,0,26.0,0.0,,0,,A,,
806,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11114531,11114531,Gent,Belgium,East Flanders,9000,315000,APARTMENT,APARTMENT,2.0,81.0,1,0,0,10.0,0.0,,0,GOOD,A,,
807,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104214,11104214,Brussels,Belgium,Brussels,1000,379000,APARTMENT,APARTMENT,2.0,90.0,1,0,0,7.0,0.0,,0,,,,
810,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11131621,11131621,Antwerp,Belgium,Antwerp,2660,229000,APARTMENT,APARTMENT,2.0,101.0,1,0,1,5.0,0.0,,0,GOOD,B,,
812,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/11104234,11104234,Brussels,Belgium,Brussels,1000,379000,APARTMENT,PENTHOUSE,2.0,90.0,1,0,0,6.0,0.0,,0,,,,
813,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230647,10230647,Namur,Belgium,Namur,5000,270000,APARTMENT,APARTMENT,2.0,89.0,1,0,0,15.0,0.0,,0,,B,,
815,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11114537,11114537,Gent,Belgium,East Flanders,9000,340000,APARTMENT,APARTMENT,2.0,88.0,1,0,0,13.0,0.0,,0,GOOD,A,,
817,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104243,11104243,Brussels,Belgium,Brussels,1000,379000,APARTMENT,APARTMENT,2.0,102.0,1,0,0,9.0,0.0,,0,,,,
819,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11114526,11114526,Gent,Belgium,East Flanders,9000,365000,APARTMENT,APARTMENT,3.0,101.0,1,0,0,13.0,0.0,,0,GOOD,A,,
821,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104244,11104244,Brussels,Belgium,Brussels,1000,379000,APARTMENT,APARTMENT,2.0,102.0,1,0,0,9.0,0.0,,0,,,,
822,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230651,10230651,Namur,Belgium,Namur,5000,270000,APARTMENT,APARTMENT,2.0,93.0,1,0,0,12.0,0.0,,0,,B,,
824,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230617,10230617,Namur,Belgium,Namur,5000,270000,APARTMENT,APARTMENT,2.0,96.0,1,0,0,15.0,0.0,,0,AS_NEW,B,,
827,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104196,11104196,Brussels,Belgium,Brussels,1000,386000,APARTMENT,APARTMENT,2.0,103.0,1,0,0,8.0,0.0,,0,,,,
829,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/10230644,10230644,Namur,Belgium,Namur,5000,270000,APARTMENT,APARTMENT,2.0,93.0,1,0,0,11.0,0.0,,0,,B,,
830,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11114527,11114527,Gent,Belgium,East Flanders,9000,390000,APARTMENT,APARTMENT,3.0,96.0,1,0,0,26.0,0.0,,0,GOOD,A,,
