,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
955,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096755,11096755,Gent,Belgium,East Flanders,9000,653049,APARTMENT,APARTMENT,1.0,77.0,1,0,0,10.0,0.0,,0,AS_NEW,,,
956,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105954,11105954,Brussels,Belgium,Brussels,1000,425000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
957,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119509,11119509,Namur,Belgium,Namur,5000,200000,APARTMENT,APARTMENT,1.0,,1,0,0,8.0,0.0,,0,,,,
958,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105951,11105951,Brussels,Belgium,Brussels,1000,425000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
959,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105950,11105950,Brussels,Belgium,Brussels,1000,428000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
960,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096754,11096754,Gent,Belgium,East Flanders,9000,666410,APARTMENT,APARTMENT,2.0,92.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
961,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105945,11105945,Brussels,Belgium,Brussels,1000,429000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
962,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105949,11105949,Brussels,Belgium,Brussels,1000,432000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
963,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119527,11119527,Namur,Belgium,Namur,5000,210000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,6.0,0.0,,0,,,,
964,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105947,11105947,Brussels,Belgium,Brussels,1000,434000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
965,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096753,11096753,Gent,Belgium,East Flanders,9000,787950,APARTMENT,APARTMENT,2.0,101.0,1,0,0,11.0,0.0,,0,AS_NEW,,,
966,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105946,11105946,Brussels,Belgium,Brussels,1000,439000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
967,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119528,11119528,Namur,Belgium,Namur,5000,210000,APARTMENT,APARTMENT,1.0,52.0,1,0,0,6.0,0.0,,0,,,,
968,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096752,11096752,Gent,Belgium,East Flanders,9000,954810,APARTMENT,APARTMENT,2.0,119.0,1,0,0,24.0,0.0,,0,AS_NEW,,,
969,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119526,11119526,Namur,Belgium,Namur,5000,210000,APARTMENT,APARTMENT,1.0,59.0,1,0,0,8.0,0.0,,0,,,,
970,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096756,11096756,Gent,Belgium,East Flanders,9000,1047510,APARTMENT,APARTMENT,2.0,134.0,1,0,0,15.0,0.0,,0,AS_NEW,,,
972,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104461,11104461,Brussels,Belgium,Brussels,1000,367000,APARTMENT,GROUND_FLOOR,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
976,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104482,11104482,Brussels,Belgium,Brussels,1000,367000,APARTMENT,GROUND_FLOOR,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
977,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119542,11119542,Namur,Belgium,Namur,5000,220000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,5.0,0.0,,0,,,,
979,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119543,11119543,Namur,Belgium,Namur,5000,220000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,6.0,0.0,,0,,,,
980,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104456,11104456,Brussels,Belgium,Brussels,1000,379000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
982,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104462,11104462,Brussels,Belgium,Brussels,1000,405000,APARTMENT,GROUND_FLOOR,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
983,https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/11131618,11131618,Sint-Niklaas,Belgium,East Flanders,9160,389000,HOUSE,HOUSE,4.0,,0,0,0,0.0,0.0,632.0,0,GOOD,F,,
984,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104455,11104455,Brussels,Belgium,Brussels,1000,405000,APARTMENT,GROUND_FLOOR,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
986,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119544,11119544,Namur,Belgium,Namur,5000,220000,APARTMENT,APARTMENT,1.0,52.0,1,0,0,6.0,0.0,,0,,,,
987,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104484,11104484,Brussels,Belgium,Brussels,1000,411000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
989,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104450,11104450,Brussels,Belgium,Brussels,1000,415000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
990,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119558,11119558,Namur,Belgium,Namur,5000,230000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,5.0,0.0,,0,,,,
992,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104477,11104477,Brussels,Belgium,Brussels,1000,415000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
994,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104474,11104474,Brussels,Belgium,Brussels,1000,416000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
996,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104451,11104451,Brussels,Belgium,Brussels,1000,418000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
998,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119559,11119559,Namur,Belgium,Namur,5000,235000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,6.0,0.0,,0,,,,
999,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104486,11104486,Brussels,Belgium,Brussels,1000,418000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
1003,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119498,11119498,Namur,Belgium,Namur,5000,235000,APARTMENT,APARTMENT,1.0,63.0,1,0,0,7.0,0.0,,0,,,,
1006,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104479,11104479,Brussels,Belgium,Brussels,1000,420000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1008,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104476,11104476,Brussels,Belgium,Brussels,1000,422000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
1009,https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/11131590,11131590,Eeklo,Belgium,East Flanders,9060,239000,APARTMENT,APARTMENT,2.0,80.0,0,0,0,0.0,0.0,,0,GOOD,A+,,
1010,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119512,11119512,Namur,Belgium,Namur,5000,240000,APARTMENT,APARTMENT,1.0,67.0,1,0,0,6.0,0.0,,0,,,,
1015,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104452,11104452,Brussels,Belgium,Brussels,1000,425000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1016,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104457,11104457,Brussels,Belgium,Brussels,1000,425000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1018,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119517,11119517,Namur,Belgium,Namur,5000,245000,APARTMENT,APARTMENT,1.0,63.0,1,0,0,7.0,0.0,,0,,,,
1019,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104492,11104492,Brussels,Belgium,Brussels,1000,428000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1021,https://www.immoweb.be/en/classified/house/for-sale/grembergen%20%28dendermonde%29/9200/11131578,11131578,Dendermonde,Belgium,East Flanders,9200,399000,HOUSE,HOUSE,3.0,140.0,1,0,0,0.0,135.0,230.0,0,,A,,
1024,https://www.immoweb.be/en/classified/bungalow/for-sale/assenede/9968/11131575,11131575,Eeklo,Belgium,East Flanders,9968,375000,HOUSE,BUNGALOW,3.0,165.0,1,0,0,32.0,0.0,720.0,0,,D,,
1025,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119529,11119529,Namur,Belgium,Namur,5000,250000,APARTMENT,APARTMENT,1.0,67.0,1,0,0,6.0,0.0,,0,,,,
1026,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104487,11104487,Brussels,Belgium,Brussels,1000,429000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,,,,
1027,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104493,11104493,Brussels,Belgium,Brussels,1000,432000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1028,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/11104481,11104481,Brussels,Belgium,Brussels,1000,434000,APARTMENT,PENTHOUSE,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1029,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119501,11119501,Namur,Belgium,Namur,5000,250000,APARTMENT,APARTMENT,1.0,70.0,1,0,0,8.0,0.0,,0,,,,
1030,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104460,11104460,Brussels,Belgium,Brussels,1000,439000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,,,,
1031,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119504,11119504,Namur,Belgium,Namur,5000,250000,APARTMENT,APARTMENT,1.0,69.0,1,0,0,8.0,0.0,,0,,,,
1032,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119534,11119534,Namur,Belgium,Namur,5000,255000,APARTMENT,APARTMENT,1.0,63.0,1,0,0,7.0,0.0,,0,,,,
1034,https://www.immoweb.be/en/classified/ground-floor/for-sale/brussels-city/1000/11105997,11105997,Brussels,Belgium,Brussels,1000,399000,APARTMENT,GROUND_FLOOR,3.0,129.0,0,0,0,0.0,0.0,,0,AS_NEW,,,
1035,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105999,11105999,Brussels,Belgium,Brussels,1000,410000,APARTMENT,APARTMENT,3.0,128.0,1,0,0,0.0,0.0,,0,AS_NEW,D,,
1036,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119545,11119545,Namur,Belgium,Namur,5000,260000,APARTMENT,APARTMENT,1.0,67.0,1,0,0,6.0,0.0,,0,,,,
1037,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11106001,11106001,Brussels,Belgium,Brussels,1000,410000,APARTMENT,APARTMENT,3.0,126.0,1,0,0,0.0,0.0,,0,AS_NEW,D,,
1038,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105998,11105998,Brussels,Belgium,Brussels,1000,410000,APARTMENT,APARTMENT,3.0,125.0,1,0,0,0.0,0.0,,0,AS_NEW,D,,
1039,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11106000,11106000,Brussels,Belgium,Brussels,1000,410000,APARTMENT,APARTMENT,3.0,126.0,1,0,0,0.0,0.0,,0,AS_NEW,D,,
1040,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119519,11119519,Namur,Belgium,Namur,5000,260000,APARTMENT,APARTMENT,1.0,70.0,1,0,0,8.0,0.0,,0,,,,
1041,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119535,11119535,Namur,Belgium,Namur,5000,275000,APARTMENT,APARTMENT,1.0,70.0,1,0,0,8.0,0.0,,0,,,,
1043,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119538,11119538,Namur,Belgium,Namur,5000,275000,APARTMENT,APARTMENT,1.0,69.0,1,0,0,8.0,0.0,,0,,,,
1044,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104341,11104341,Brussels,Belgium,Brussels,1000,432000,APARTMENT,GROUND_FLOOR,2.0,111.0,1,0,0,10.0,0.0,,0,,,,
1045,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119547,11119547,Namur,Belgium,Namur,5000,285000,APARTMENT,APARTMENT,1.0,72.0,1,0,0,14.0,0.0,,0,,,,
1046,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104358,11104358,Brussels,Belgium,Brussels,1000,434000,APARTMENT,GROUND_FLOOR,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1047,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104362,11104362,Brussels,Belgium,Brussels,1000,442000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1048,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104352,11104352,Brussels,Belgium,Brussels,1000,444000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1049,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119551,11119551,Namur,Belgium,Namur,5000,285000,APARTMENT,APARTMENT,1.0,70.0,1,0,0,8.0,0.0,,0,,,,
1050,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104363,11104363,Brussels,Belgium,Brussels,1000,446000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1051,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119494,11119494,Namur,Belgium,Namur,5000,290000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,9.0,0.0,,0,,,,
1052,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104353,11104353,Brussels,Belgium,Brussels,1000,448000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1053,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119502,11119502,Namur,Belgium,Namur,5000,295000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1054,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104348,11104348,Brussels,Belgium,Brussels,1000,450000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1055,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104342,11104342,Brussels,Belgium,Brussels,1000,452000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1056,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119546,11119546,Namur,Belgium,Namur,5000,295000,APARTMENT,APARTMENT,1.0,74.0,1,0,0,27.0,0.0,,0,,,,
1057,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104346,11104346,Brussels,Belgium,Brussels,1000,457000,APARTMENT,APARTMENT,2.0,109.0,1,0,0,10.0,0.0,,0,,,,
1058,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104349,11104349,Brussels,Belgium,Brussels,1000,457000,APARTMENT,APARTMENT,2.0,112.0,1,0,0,10.0,0.0,,0,,,,
1059,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119505,11119505,Namur,Belgium,Namur,5000,295000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1060,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11104361,11104361,Brussels,Belgium,Brussels,1000,459000,APARTMENT,GROUND_FLOOR,2.0,110.0,1,0,0,10.0,0.0,,0,,,,
1061,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119507,11119507,Namur,Belgium,Namur,5000,295000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1062,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104347,11104347,Brussels,Belgium,Brussels,1000,465000,APARTMENT,APARTMENT,2.0,110.0,1,0,0,10.0,0.0,,0,,,,
1063,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119513,11119513,Namur,Belgium,Namur,5000,300000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,9.0,0.0,,0,,,,
1064,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104354,11104354,Brussels,Belgium,Brussels,1000,467000,APARTMENT,APARTMENT,2.0,109.0,1,0,0,10.0,0.0,,0,,,,
1065,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104364,11104364,Brussels,Belgium,Brussels,1000,471000,APARTMENT,APARTMENT,2.0,110.0,1,0,0,10.0,0.0,,0,,,,
1066,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104355,11104355,Brussels,Belgium,Brussels,1000,472000,APARTMENT,APARTMENT,2.0,109.0,1,0,0,10.0,0.0,,0,,,,
1067,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119523,11119523,Namur,Belgium,Namur,5000,305000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1068,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104343,11104343,Brussels,Belgium,Brussels,1000,477000,APARTMENT,APARTMENT,2.0,110.0,1,0,0,10.0,0.0,,0,,,,
1069,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119503,11119503,Namur,Belgium,Namur,5000,305000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,10.0,0.0,,0,,,,
1070,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104359,11104359,Brussels,Belgium,Brussels,1000,479000,APARTMENT,APARTMENT,2.0,109.0,1,0,0,10.0,0.0,,0,,,,
1071,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104356,11104356,Brussels,Belgium,Brussels,1000,482000,APARTMENT,APARTMENT,2.0,110.0,1,0,0,10.0,0.0,,0,,,,
1072,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119524,11119524,Namur,Belgium,Namur,5000,305000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1073,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11104344,11104344,Brussels,Belgium,Brussels,1000,484000,APARTMENT,APARTMENT,2.0,109.0,1,0,0,10.0,0.0,,0,,,,
1074,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11117933,11117933,Brussels,Belgium,Brussels,1000,420000,APARTMENT,APARTMENT,1.0,98.0,1,0,0,0.0,0.0,,1,AS_NEW,G,,
1075,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119520,11119520,Namur,Belgium,Namur,5000,305000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1076,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11127427,11127427,Brussels,Belgium,Brussels,1000,995000,HOUSE,APARTMENT_BLOCK,10.0,630.0,1,0,0,30.0,0.0,200.0,0,GOOD,D,,
1077,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11124185,11124185,Brussels,Belgium,Brussels,1000,925000,HOUSE,APARTMENT_BLOCK,6.0,550.0,1,0,0,40.0,0.0,200.0,0,GOOD,F,,
1078,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1050/11131631,11131631,Brussels,Belgium,Brussels,1050,1300000,APARTMENT,APARTMENT,3.0,,1,0,1,0.0,0.0,,0,,,,
1081,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119508,11119508,Namur,Belgium,Namur,5000,310000,APARTMENT,APARTMENT,2.0,82.0,1,0,0,11.0,0.0,,0,,,,
1083,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11131619,11131619,Brussels,Belgium,Brussels,1070,215000,APARTMENT,APARTMENT,1.0,49.0,0,0,0,0.0,0.0,,0,GOOD,C,,
1085,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119530,11119530,Namur,Belgium,Namur,5000,310000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,9.0,0.0,,0,,,,
1089,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119521,11119521,Namur,Belgium,Namur,5000,315000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,10.0,0.0,,0,,,,
1091,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119539,11119539,Namur,Belgium,Namur,5000,320000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1093,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/11131605,11131605,Brussels,Belgium,Brussels,1020,200000,APARTMENT,APARTMENT,2.0,88.0,1,0,0,0.0,0.0,,0,TO_RENOVATE,D,,
1094,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119540,11119540,Namur,Belgium,Namur,5000,320000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1096,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119536,11119536,Namur,Belgium,Namur,5000,320000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1099,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119556,11119556,Namur,Belgium,Namur,5000,330000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1102,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119525,11119525,Namur,Belgium,Namur,5000,330000,APARTMENT,APARTMENT,2.0,82.0,1,0,0,11.0,0.0,,0,,,,
1105,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119537,11119537,Namur,Belgium,Namur,5000,330000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,10.0,0.0,,0,,,,
1106,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11131589,11131589,Brussels,Belgium,Brussels,1140,198000,APARTMENT,APARTMENT,1.0,46.0,0,1,0,0.0,0.0,,0,GOOD,E,,
1108,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119555,11119555,Namur,Belgium,Namur,5000,335000,APARTMENT,APARTMENT,2.0,86.0,1,0,0,10.0,0.0,,0,,,,
1111,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119552,11119552,Namur,Belgium,Namur,5000,335000,APARTMENT,APARTMENT,2.0,85.0,1,0,0,10.0,0.0,,0,,,,
1114,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119541,11119541,Namur,Belgium,Namur,5000,340000,APARTMENT,APARTMENT,2.0,83.0,1,0,0,11.0,0.0,,0,,,,
1117,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119557,11119557,Namur,Belgium,Namur,5000,355000,APARTMENT,APARTMENT,2.0,83.0,1,0,0,11.0,0.0,,0,,,,
1120,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119553,11119553,Namur,Belgium,Namur,5000,355000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,10.0,0.0,,0,,,,
1121,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119500,11119500,Namur,Belgium,Namur,5000,375000,APARTMENT,APARTMENT,3.0,114.0,1,0,0,10.0,0.0,,0,,,,
1122,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119518,11119518,Namur,Belgium,Namur,5000,390000,APARTMENT,APARTMENT,3.0,114.0,1,0,0,10.0,0.0,,0,,,,
1123,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119549,11119549,Namur,Belgium,Namur,5000,400000,APARTMENT,APARTMENT,3.0,114.0,1,0,0,10.0,0.0,,0,,,,
1124,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119548,11119548,Namur,Belgium,Namur,5000,410000,APARTMENT,APARTMENT,2.0,108.0,1,0,0,22.0,0.0,,0,,,,
1125,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119560,11119560,Namur,Belgium,Namur,5000,420000,APARTMENT,APARTMENT,2.0,94.0,1,0,0,43.0,0.0,,0,,,,
1126,https://www.immoweb.be/en/classified/penthouse/for-sale/namur/5000/11119562,11119562,Namur,Belgium,Namur,5000,570000,APARTMENT,PENTHOUSE,3.0,114.0,1,0,0,10.0,0.0,,0,,,,
1127,https://www.immoweb.be/en/classified/penthouse/for-sale/namur/5000/11119566,11119566,Namur,Belgium,Namur,5000,570000,APARTMENT,PENTHOUSE,2.0,112.0,1,0,0,50.0,0.0,,0,,,,
1128,https://www.immoweb.be/en/classified/penthouse/for-sale/namur/5000/11119561,11119561,Namur,Belgium,Namur,5000,765000,APARTMENT,PENTHOUSE,3.0,132.0,1,0,0,120.0,0.0,,0,,,,
1129,https://www.immoweb.be/en/classified/penthouse/for-sale/namur/5000/11119564,11119564,Namur,Belgium,Namur,5000,970000,APARTMENT,PENTHOUSE,3.0,165.0,1,0,0,99.0,0.0,,0,,,,
1130,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11118431,11118431,Namur,Belgium,Namur,5000,285000,APARTMENT,APARTMENT,1.0,72.0,1,0,0,14.0,0.0,,0,,A,,
1131,https://www.immoweb.be/en/classified/house/for-sale/namur/5000/11099750,11099750,Namur,Belgium,Namur,5000,375000,HOUSE,HOUSE,5.0,198.0,1,0,0,,259.0,259.0,0,GOOD,C,,
1132,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108093,11108093,Namur,Belgium,Namur,5000,340000,APARTMENT,APARTMENT,2.0,89.0,1,0,0,107.0,0.0,,0,,A,,
1133,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108092,11108092,Namur,Belgium,Namur,5000,340000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,11.0,0.0,,0,,A,,
1134,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108095,11108095,Namur,Belgium,Namur,5000,345000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,18.0,0.0,,0,,A,,
1135,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11108094,11108094,Namur,Belgium,Namur,5000,350000,APARTMENT,APARTMENT,2.0,92.0,1,0,0,22.0,0.0,,0,,A,,
